DATE,y1,log_sp500,log_rgdp,log_pgdp,unemp,EBP,shock_Hybrid_meeting_sum,shock_AD_meeting_sum,shock_Wu_meeting_sum,shock_Kr_meeting_sum
1998-04-01,5.38,7.0104472588634,9.337791697229939,4.104880218829896,4.3,-0.3910468935996067,0.0,0.0,0.0,0.0
1998-05-01,5.44,7.02197642307216,9.342448869250369,4.106438834070194,4.4,-0.3451931973421622,0.0156251660033239,0.0014158108552059,0.0499921454052388,-0.0138173230463194
1998-06-01,5.41,6.994831635527216,9.34708445252324,4.107995023811351,4.5,-0.3070838887979135,0.0,0.0,0.0,0.0
1998-07-01,5.36,7.046264314188107,9.351698646278598,4.109548795582588,4.5,-0.2673896067274093,0.0287120949282561,0.0185070783347014,-0.0130855502597032,-0.0249049972338391
1998-08-01,5.21,7.014311026965142,9.35770909807468,4.110762855166778,4.5,0.1318928847238207,0.003760394995925,0.013495151421691,-0.0717594534225962,0.0131224453687701
1998-09-01,4.71,6.901998751927489,9.36368364006666,4.1119754425973944,4.6,0.1149671908065155,-0.0522017468264629,-0.0485518114352909,-0.0471011249486619,-0.0412458080881191
1998-10-01,4.12,6.894051829130611,9.369622698797935,4.113186561436539,4.5,0.2303037496250168,0.0,0.0,0.0,0.0
1998-11-01,4.53,7.013555676277848,9.373636035510295,4.114480981870181,4.4,0.2140645634093416,-0.0543651400595662,-0.0358933786504498,0.0614077260221339,-0.2560202732038028
1998-12-01,4.52,7.069261720737142,9.37763332971363,4.115773728943461,4.4,0.0782113141931475,0.0184240901816012,0.0105639983051548,0.0185962250409566,0.1599747448901846
1999-01-01,4.51,7.113223519073956,9.381614709150915,4.117064806984847,4.3,0.0700627170383021,0.0,0.0,0.0,0.0
1999-02-01,4.7,7.149131598557407,9.38432254849014,4.118403472566764,4.4,-0.1540298962716713,-0.0250053370379742,-0.0029356091640179,0.0734575057089619,-0.0839993769979293
1999-03-01,4.78,7.119765106982446,9.387023075232362,4.119740348520482,4.2,-0.1428685285302593,0.0022083681212215,-0.0351081725794708,-0.0565978510238288,0.1928637354598099
1999-04-01,4.69,7.165277045923048,9.38971632876698,4.121075439617549,4.3,-0.1835812813103787,0.0,0.0,0.0,0.0
1999-05-01,4.85,7.211283636985803,9.394598970561272,4.122365972888396,4.2,-0.1812548403979301,-0.0452853928053091,-0.0506050717711856,0.0076450569491088,-0.1512476127448999
1999-06-01,5.1,7.165694389961104,9.399457887955519,4.123654842831827,4.3,-0.1182517828496709,0.0957760998722085,0.0588469684368536,0.0023629506963237,0.1902919357893658
1999-07-01,5.03,7.230534160230124,9.404293310385608,4.124942053725713,4.3,-0.0697448021189988,0.0,0.0,0.0,0.0
1999-08-01,5.2,7.191467016826223,9.410386759149452,4.127197213602518,4.2,-0.0097814210356494,0.0955533031563659,0.0698111085324938,0.1094974767516688,-0.0373496024331023
1999-09-01,5.25,7.193738368479396,9.416443302562818,4.1294472991763485,4.2,0.1235294670371289,0.0,0.0,0.0,0.0
1999-10-01,5.43,7.156808309228855,9.422463384974922,4.131692333217169,4.1,0.1371891612099984,-0.0293433884789889,-0.0567982178380779,0.0563650970124008,-0.0252220485580866
1999-11-01,5.55,7.210907072145174,9.424287432039177,4.134282403303635,4.1,0.1021181894816098,0.0710118512716741,0.0942720678924868,0.1648311687184335,0.1225761808293292
1999-12-01,5.84,7.242597595862703,9.426108158012648,4.136865782251969,4.0,-0.1271240653409004,-0.034794684279864,-0.0433506326469977,0.0391169680260225,0.0626189386700011
2000-01-01,6.12,7.282912350996492,9.42792557496695,4.1394425045520435,4.0,0.0579895942559955,0.0,0.0,0.0,0.0
2000-02-01,6.22,7.250834235232089,9.434291355206343,4.141716360999081,4.1,0.1472869401438381,0.0265206165894419,0.0387927254087062,-0.0431501392833906,0.1635618411891529
2000-03-01,6.22,7.229251606524364,9.440616868483195,4.143985058746507,4.0,0.4119044120788895,0.0348680413061457,0.0309133544609691,0.062308145708781,-0.0720147183139028
2000-04-01,6.15,7.3171924685860095,9.446902621017196,4.146248621151421,3.8,0.5694707772531933,0.0,0.0,0.0,0.0
2000-05-01,6.33,7.2918264944026285,9.447220104019719,4.1484180286733,4.0,0.7513002236416289,0.200100291494407,0.16735273939544,0.18937777386297,0.1082314990057366
2000-06-01,6.17,7.278497849532401,9.447537486258772,4.1505827400512745,4.0,0.7974083573877047,-0.0120388954396696,-0.0290216274394278,-0.0525875665845878,0.1134211104980081
2000-07-01,6.08,7.292704732170333,9.447854767798301,4.152742775575785,4.0,0.8770542656520588,0.0,0.0,0.0,0.0
2000-08-01,6.18,7.2710780602036476,9.450056494989617,4.154925713716634,4.1,1.029929716530698,0.0044250821373745,-0.0177669014811054,0.049052593714319,-0.0171800939990281
2000-09-01,6.13,7.326972077671125,9.452253385226014,4.157103897016196,3.9,1.1364425297465357,0.0,0.0,0.0,0.0
2000-10-01,6.01,7.269776889988357,9.454445459713439,4.1592773461451165,3.9,1.5272253681434602,-0.0274455251231153,-0.0036954555855976,0.1228516556160339,-0.1281153692859987
2000-11-01,6.09,7.259270916257541,9.45368530902824,4.161843771751862,3.9,1.6099061346613714,0.0366383672303792,0.028986622584664,-0.0721956284115171,0.1293857767043713
2000-12-01,5.6,7.181766819054278,9.452924580074377,4.164403627686073,3.9,1.6091156465242706,0.0726984946462893,0.0535840868695397,-0.2533221530517792,-0.0276490400598478
2001-01-01,4.81,7.157166802331771,9.45216327197137,4.1669569474705455,4.2,1.1549945709301783,-0.123095320798583,-0.0780413896503841,-0.1537005253097958,-0.4099134365815464
2001-02-01,4.68,7.22509564217292,9.454097276382512,4.169143385577335,4.2,1.186030432017155,0.0,0.0,0.0,0.0
2001-03-01,4.3,7.123858086326994,9.456027547639367,4.171325053604844,4.3,1.1155865153165037,-0.0752365215890295,-0.0715657860482338,-0.1493125755742518,0.0534946227045026
2001-04-01,3.98,7.0439194484312315,9.45795410012618,4.1735019723133835,4.4,0.9263886340676484,0.0,0.0,0.0,0.0
2001-05-01,3.78,7.14396504707767,9.456404229012422,4.17493679368045,4.3,0.7825185295136072,-0.1268661939699766,-0.0775621294467653,-0.2249595618532954,-0.2115697514089913
2001-06-01,3.58,7.139398639552522,9.454851952068989,4.17636955927463,4.5,1.0239614844079972,-0.0306017524099314,0.0121220905313632,0.0954582434395425,0.0195463070911022
2001-07-01,3.62,7.120217969238955,9.453297261815235,4.177800274998922,4.6,0.7911985253580247,0.0,0.0,0.0,0.0
2001-08-01,3.47,7.103264539490115,9.454302171884503,4.179118044019147,4.9,0.7715014638676392,0.0134686176178404,0.0009355490820029,-0.1696506406292165,-0.0281512891155787
2001-09-01,2.82,7.032571250796863,9.455306073123221,4.180434078814587,5.0,1.2363036717494036,0.0,0.0,0.0,0.0
2001-10-01,2.33,6.945580835703282,9.456308967554895,4.181748383935835,5.3,1.0532576808207137,-0.0293013415339481,-0.0078762693525011,-0.1771864003274292,-0.2776468120094045
2001-11-01,2.18,6.988505406529066,9.459867180088665,4.1829875885960135,5.5,-0.0885690062661139,-0.0491323113209966,-0.0387014796259055,-0.0094114332647697,0.0034747493076771
2001-12-01,2.22,7.029884433456018,9.463412776623143,4.1842252595319565,5.7,0.4123070771765742,0.0104872320601372,0.0121086038613219,0.037739589944763,0.2078939323215071
2002-01-01,2.16,7.051569905952202,9.466945846304924,4.185461400512431,5.7,0.573637204380776,0.0653305547690515,0.047322546667907,0.1968784473691331,0.0627219565152716
2002-02-01,2.23,7.02304627965264,9.468838361091926,4.18668629496469,5.7,0.7904980708371858,0.0,0.0,0.0,0.0
2002-03-01,2.57,7.031546919209042,9.470727301031097,4.187909690892622,5.7,0.2881648808689232,-0.0093742463806407,-0.0132821175824649,0.0794550449458894,0.0107168436008102
2002-04-01,2.48,7.04450402449672,9.472612679602328,4.189131591942543,5.9,0.4243182816783708,0.0,0.0,0.0,0.0
2002-05-01,2.35,6.990679947659887,9.474059167370225,4.19089229206653,5.8,0.5225275633775648,0.0230261636988727,0.0154719049974047,0.0267433908233392,0.0324888531204029
2002-06-01,2.2,6.947629676514147,9.475503565833048,4.192649897572607,5.8,0.9753397227887834,0.013870096038453,0.0010938524391526,0.0021432309102531,0.0117785089482867
2002-07-01,1.96,6.875903374309706,9.476945881017674,4.194404419324317,5.8,1.6014895343895708,0.0,0.0,0.0,0.0
2002-08-01,1.76,6.7852033598804224,9.477388690180781,4.196729086394274,5.7,1.4984657943256323,0.023987221452842,0.0280716344911493,0.2135645811662338,-0.1072407244389386
2002-09-01,1.72,6.777669395197482,9.477831303350719,4.199048361913131,5.7,1.6827134793512828,0.0420318051377256,0.0375670252573913,0.0447530723763459,0.0606393084074942
2002-10-01,1.65,6.742774466241022,9.478273720700907,4.201362270848597,5.7,1.475743570024024,0.0,0.0,0.0,0.0
2002-11-01,1.49,6.803460885924706,9.480670445134702,4.203260223404385,5.9,1.0600428584799473,-0.1529286328493561,-0.134854719869762,-0.1147459808066781,-0.0681159624923513
2002-12-01,1.45,6.840043760140709,9.483061439012314,4.2051545805677755,6.0,0.9229387364240248,0.0267981400930749,0.0355696667207087,0.0321884843935668,0.0492736145280122
2003-01-01,1.36,6.812378128835349,9.485446729671851,4.207045355911517,5.8,0.87215138926791,0.0,0.0,0.0910818282083456,-0.0297042173026875
2003-02-01,1.3,6.757304421197875,9.488349260784767,4.208278813053036,5.9,0.6704158293767453,0.0,0.0,0.0,0.0
2003-03-01,1.24,6.72720415165265,9.491243391587105,4.209510750646081,5.9,0.1555738659930008,-0.0044225566057082,0.0161762048029485,-0.0117712111433707,0.0392347808002779
2003-04-01,1.27,6.755163360321881,9.49412917056181,4.210741172436077,6.0,0.0675735722118555,0.0,0.0,0.0,0.0
2003-05-01,1.18,6.82034380887502,9.500206309677603,4.2128492465401175,6.1,-0.4757493901209373,0.0610567772794324,0.0172429232307728,0.1142959927346089,0.0853914581244771
2003-06-01,1.01,6.874198495453294,9.506246740144835,4.21495288601118,6.3,-0.3709616369371837,0.0,0.0,-0.0677765504110316,-0.0183304907789423
2003-07-01,1.12,6.8899171279782445,9.51225090277557,4.217052109473004,6.2,-1.0706069111025802,0.0,0.0,0.0,0.0
2003-08-01,1.31,6.887705645662481,9.51651500176781,4.219476756065654,6.1,-0.1981316168277911,0.0308402109676583,0.0164115975811899,-0.0678291004762183,0.0473946383579101
2003-09-01,1.24,6.929506976195135,9.520760995395584,4.221895537960734,6.1,-0.5427044064721143,-0.0078430394214554,-0.0280574283318259,0.0186027319660623,0.0289291542719966
2003-10-01,1.25,6.925811255300633,9.524989036759811,4.224308483472596,6.0,-0.5219475668502831,-0.037719514650408,-0.0510974661027092,-0.0519336035384641,-0.1617919630781972
